identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
dactylon_galmés_2015_dH,Cynodon,dactylon,,52.3,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
sanguinalis_galmés_2015_dH,Digitaria,sanguinalis,,46.6,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
trinervia_galmés_2015_dH,Flaveria,trinervia,,50.4,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
montana_galmés_2015_dH,Muhlenbergia,montana,,52.7,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
p_oleracea_galmés_2015_dH,Portulaca,oleracea,,53.7,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
bicolor_galmés_2015_dH,Sorghum,bicolor,,58.1,,,,1B,C4 plants,Plants,From Tieszen & Sigurdson 1973,Galmés 2015
japonica_galmés_2015_dH,Zoysia,japonica,,49.8,,,,1B,C4 plants,Plants,From Sage et al. 2002,Galmés 2015
rubrum_galmés_2016_dH,Rhodospirillum,rubrum,,,,,-18.8,2,Alphaproteobacteria,Bacteria,From Jordan & Ogren 1984,Galmés 2016
t_elongatus_galmés_2016_dH,Thermosynechococcus,elongatus,BP-1,,,,-43.0,1Bc,Cyanobacteria,Bacteria,From Gubernator et al. 2008,Galmés 2016
s_elongatus_galmés_2016_dH,Synechococcus,elongatus,6301,,,,-11.7,1Bc,Cyanobacteria,Bacteria,From Zhu et al. 1998,Galmés 2016
partita_galmés_2016_dH,Galdieria,partita,Tokara,,,,-38.7,1D,Red algae,Algae,From Uemura et al. 1997,Galmés 2016
socialis_galmés_2016_dH,Chaetoceros,socialis,,,,,-18.7,1D,Diatoms,Algae,From Haslam et al. 2005,Galmés 2016
costatum_galmés_2016_dH,Skeletonema,costatum,,,,,-28.1,1D,Diatoms,Algae,From Haslam et al. 2005,Galmés 2016
antarctica_galmés_2016_dH,Thalassiosira,antarctica,,,,,-20.3,1D,Diatoms,Algae,From Haslam et al. 2005,Galmés 2016
hyalina_galmés_2016_dH,Thalassiosira,hyalina,,,,,-18.1,1B,C3 plants,Plants,From Haslam et al. 2005,Galmés 2016
glabriuscula_galmés_2016_dH,Atriplex,glabriuscula,,,32.4,34.6,-12.1,1B,C3 plants,Plants,From Badger & Collatz 1977,Galmés 2016
a_sativa_galmés_2016_dH,Avena,sativa,,,44.2,,-18.4,1B,C3 plants,Plants,From Hermida-Carrera et al. 2016,Galmés 2016
vulgare_galmés_2016_dH,Hordeum,vulgare,vulgare,,34.6,,-17.4,1B,C3 plants,Plants,From Hermida-Carrera et al. 2016,Galmés 2016
minoricensis_galmés_2016_dH,Lysimachia,minoricensis,,,,,-21.4,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
aquatica_galmés_2016_dH,Mentha,aquatica,,,,,-21.4,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
oleracea1_galmés_2016_dH,Spinacia,oleracea,,,,,-19.8,1B,C3 plants,Plants,From Uemura et al. 1997,Galmés 2016
oleracea2_galmés_2016_dH,Spinacia,oleracea,,,,,-17.6,1B,C3 plants,Plants,From Zhu et al. 1998,Galmés 2016
oleracea3_galmés_2016_dH,Spinacia,oleracea,,,50.2,0,-20.5,1B,C3 plants,Plants,From Jordan & Ogren 1984,Galmés 2016
oleracea4_galmés_2016_dH,Spinacia,oleracea,,,,,-14.7,1B,C3 plants,Plants,From Yamori et al. 2006,Galmés 2016
aestivum1_galmés_2016_dH,Triticum,aestivum,,,,,-20.5,1B,C3 plants,Plants,From Haslam et al. 2005,Galmés 2016
aestivum2_galmés_2016_dH,Triticum,aestivum,,,41.3,,-19.7,1B,C3 plants,Plants,From Hermida-Carrera et al. 2016,Galmés 2016
atrovirens_galmés_2016_dH,Urtica,atrovirens,bianorii,,,,-21.1,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
