identifier,genus,species,subspecies,kcat dH,Kc dH,Ko dH,S dH,Form,Taxonomy,Note,short_ref
62,Avena,sativa,cv. Forridena,,44.2,,-18.4,1B,C3 plants,From Hermida-Carrera et al. 2016,Galmés 2016
63,Hordeum,vulgare,vulgare cv. Morex,,34.6,,-17.4,1B,C3 plants,From Hermida-Carrera et al. 2016,Galmés 2016
64,Lysimachia,minoricensis,,,,,-21.4,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
65,Mentha,aquatica,,,,,-21.4,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
66,Spinacia,oleracea,,,,,-19.8,1B,C3 plants,From Uemura et al. 1997,Galmés 2016
67,Spinacia,oleracea,,,,,-17.6,1B,C3 plants,From Zhu et al. 1998,Galmés 2016
68,Spinacia,oleracea,,,50.2,0,-20.5,1B,C3 plants,From Jordan & Ogren 1984,Galmés 2016
69,Spinacia,oleracea,cv. Torai,,,,-14.7,1B,C3 plants,From Yamori et al. 2006,Galmés 2016
70,Triticum,aestivum,,,,,-20.5,1B,C3 plants,From Haslam et al. 2005,Galmés 2016
71,Triticum,aestivum,cv. Cajeme?,,41.3,,-19.7,1B,C3 plants,From Hermida-Carrera et al. 2016,Galmés 2016
72,Urtica,atrovirens,bianorii,,,,-21.1,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
73,Beta,maritima,marcosii,,,,-22,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
74,Beta,maritima,maritima,,,,-22.4,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
75,Diplotaxis,ibicensis,,,,,-24.9,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
76,Flaveria,cronquistii,,,51.8,,-19.5,1B,C3 plants,From Perdomo et al. 2015,Galmés 2016
77,Flaveria,pringlei,,,,,-18.9,1B,C3 plants,From Zhu et al. 1998,Galmés 2016
78,Flaveria,pringlei,,,38.6,,-20.8,1B,C3 plants,From Perdomo et al. 2015,Galmés 2016
79,Hypericum,balearicum,,,,,-22.6,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
80,Kundmannia,sicula,,,,,-23.2,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
81,Limonium,gibertii,,,,,-24.1,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
82,Limonium,magallufianum,,,,,-24.3,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
83,Pistacia,lentiscus,,,,,-22,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
84,Rhamnus,alaternus,,,,,-22.8,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
85,Rhamnus,ludovici-salvatoris,,,,,-24,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
86,Trifolium,repens,,,48.9,9.3,-18,1B,C3 plants,Native ecotype; from Lehnherr et al. 1985,Galmés 2016
87,Urtica,membranacea,,,,,-20.4,1B,C3 plants,From Galmés et al. 2005,Galmés 2016
88,Flaveria,angustifolia,,,44,,-21.6,1B,C3-C4 plants,From Perdomo et al. 2015,Galmés 2016
89,Flaveria,floridana,,,44.1,,-20.4,1B,C3-C4 plants,From Perdomo et al. 2015,Galmés 2016
90,Amaranthus,hybridus,,,,,-27.9,1B,C4 plants,From Jordan & Ogren 1984,Galmés 2016
91,Flaveria,bidentis,,,31.6,,-20,1B,C4 plants,From Perdomo et al. 2015,Galmés 2016
92,Flaveria,trinervia,,,31.7,,-21.4,1B,C4 plants,From Perdomo et al. 2015,Galmés 2016
93,Saccharum,officinarum,,,35.8,,-23,1B,C4 plants,From Hermida-Carrera et al. 2016,Galmés 2016
94,Setaria,viridis,,,51.8,-4,-21.3,1B,C4 plants,From Boyd et al. 2015,Galmés 2016
95,Zea,mays,cv. Carella,,22.9,,-20.1,1B,C4 plants,From Hermida-Carrera et al. 2016,Galmés 2016
96,Anabaena,variabilis,M3,,38.8,,,1Bc,Cyanobacteria,From Badger 1980,Galmés 2016
97,Espeletia,schultzii,,,23.7,,,1B,C3 plants,From Castrillo 1995,Galmés 2016
98,Glycine,max,cv. Wayne,,37,-5.5,,1B,C3 plants,From Laing et al. 1974,Galmés 2016
99,Oryza,sativa,indica x japonica hybrid,,58.4,,,1B,C3 plants,From Wei et al. 1994,Galmés 2016
100,Flaveria,angustifolia,,50.8,48.2,,-25.6,1B,C3-C4 plants,,Perdomo 2015
101,Flaveria,bidentis,,47.6,35.6,,-20.3,1B,C4 plants,,Perdomo 2015
102,Flaveria,cronquistii,,54.1,56.7,,-22.2,1B,C3 plants,,Perdomo 2015
103,Flaveria,floridana,,52.5,43.1,,-20.7,1B,C3-C4 plants,,Perdomo 2015
104,Flaveria,pringlei,,53.9,41.6,,-20.1,1B,C3 plants,,Perdomo 2015
105,Flaveria,trinervia,,48.8,35.6,,-20.8,1B,C4 plants,,Perdomo 2015
106,Deschampsia,antarctica,,78.8,,,-15.9,1B,C3 plants,,Saez 2017
107,Colobanthus,quitensis,,98.3,,,-19.3,1B,C3 plants,,Saez 2017
108,,,,,,,,,,,Sharwood et al. 2016 (Temperature responses of Rubisco from Paniceae grasses…)
109,,,,,,,,,,,Orr et al. 2016
110,,,,,,,,,,,Prins et al. 2016
111,,,,,,,,,,,Laing et al. 1974
112,Average,1B,plant,58.1,41.1,26.7,-21.5,1B,,Ko from in vivo estimates; all others average Streptophyta presented in Galmes 2016,this study
113,Average,1B,C3 plants (warm),64.5,46.1,26.7,-22,1B,C3 plants,Ko from in vivo estimates; all others average C3 warm Streptophyta presented in Galmes 2016,this study
114,Average,1B,C3 plants (cool),55.3,40.5,26.7,-19.9,1B,C3 plants,Ko from in vivo estimates; all others average C3 cool Streptophyta presented in Galmes 2016,this study
115,Average,1B,C4 plants,52.8,34.7,26.7,-22.3,1B,C4 plants,Ko from in vivo estimates; all others average C4 Streptophyta presented in Galmes 2016,this study
116,Average,1A,proteo,47.2,40.8,26.7,-21.8,1A,Proteobacteria,kcat from average of 3/4 reported proteobacteria values; Kc average of all available values; Ko from in vivo estimates; Sc/o from average of all form I values,this study
117,Average,1Ac,cyano,40.1,38.8,26.7,-27.4,1Ac,Cyanobacteria,Ko from in vivo estimates; all others average Cyanobacteria presented in Galmes 2016,this study
118,Average,1Bc,,40.1,38.8,26.7,-27.4,1Bc,Cyanobacteria,Ko from in vivo estimates; all others average Cyanobacteria presented in Galmes 2016,this study
119,Average,2,,52.9,40.8,26.7,-18.8,2,Proteobacteria,kcat from average of all values; Kc average of all values; Ko from in vivo estimates; Sc/o from R. rubrum,this study
