identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,group,note,short_ref
arundinacea_Orr_2016,Calamagrostis,arundinacea,,4.1,,22.7,,614,,104,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
calamagrostis_canescens_Orr_2016,Calamagrostis,canescens,,2.5,,15.2,,594,,98.5,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
foliosa_Orr_2016,Calamagrostis,foliosa,,3.5,,20.9,,330,,105,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
inexpansa_Orr_2016,Calamagrostis,inexpansa,,3.3,,18.8,,608,,111,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
nutkaensis_Orr_2016,Calamagrostis,nutkaensis,,3.1,,20.1,,601,,109,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
annuum_Hermida-Carrera_2016,Capsicum,annuum,Picante,1.9,,9.6,,243,,96,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
ciliaris_Sharwood_2016b,Cenchrus,ciliaris,,6,,19,,470,,69.9,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
calcitrans_CCMP1315_Young_2016,Chaetoceros,calcitrans,CCMP1315,2.6,,25,,413,,57,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
calcitrans_CS178_Young_2016,Chaetoceros,calcitrans,CS-178,3.4,,31,,490,,75,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
muelleri_Young_2016,Chaetoceros,muelleri,CCMP1316,2.4,,23,,425,,96,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
album_Kubien_2008,Chenopodium,album,,2.91,,11.2,,415,,78.7,,25,1B,canon,C3 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
murale_Orr_2016,Chenopodium,murale,,4.4,,23.8,,354,,109,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
petiolare_Orr_2016,Chenopodium,petiolare,,4.4,,25.6,,589,,98.5,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
reinhardtii_Du_and_Spreitzer_2000,Chlamydomonas,reinhardtii,,2.655,,32,,559,,63,,25,1B,canon,Green algae,Algae,Cite Jordan & Ogren 1981 so used that pKa & pH; kcat converted from specific activity in umol/h/mg using .0191 conversion factor,Du and Spreitzer 2000
reinhardtii_Genkov_and_Spreitzer_2009,Chlamydomonas,reinhardtii,,2.427,,31,,527,,60,,25,1B,canon,Green algae,Algae,pH & pKa same as Chen 1988 since they cite that for methods,Genkov and Spreitzer 2009
reinhardtii_Iñiguez_2021,Chlamydomonas,reinhardtii,,2.3,,30.9,,485,,66.1,,25,1B,canon,Green algae,Algae,methodology-corrected average from Iñiguez et al. 2021 across multiple strains,Iñiguez 2021
reinhardtii_Satagopan_and_Spreitzer_2008,Chlamydomonas,reinhardtii,,2.274,,34,,417,,61,,25,1B,canon,Green algae,Algae,,Satagopan and Spreitzer 2008
indicum_Orr_2016,Chrysanthellum,indicum,afroamericanum,4.7,,28.1,,598,,82.4,,25,1B,canon,C4 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
ecirrhosus_Orr_2016,Citrullus,ecirrhosus,,3.1,,18.9,,544,,99.9,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
lanatus_Orr_2016,Citrullus,lanatus,lanatus,2.5,,19.4,,510,,107,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
arabica_Hermida-Carrera_2016,Coffea,arabica,Catuai Vermelho IAC 44,2.1,,11,,238,,98.7,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
maxima_Hermida-Carrera_2016,Cucurbita,maxima,Totanera,2.2,,9,,228,,98.4,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
fusiformis_Read_1994,Cylindrotheca,fusiformis,,1.95,,36,,568,,111,,25,1D,canon,Diatoms,Algae,,Read 1994
cylindrotheca_sp_Read_1992b,Cylindrotheca,sp,N1,0.97,,33,,631,,107.1,,25,1D,canon,Diatoms,Algae,,Read 1992b
cylindrotheca_sp_Read_1994,Cylindrotheca,sp,N1,0.78,,31,,1290,,106,,25,1D,canon,Diatoms,Algae,,Read 1994
dactylon_Carmo-Silva_2010,Cynodon,dactylon,,4,,21,,402,,89.2,,25,1B,canon,C4 plants,Plants,,Carmo-Silva 2010
danthonioides_Orr_2016,Deschampsia,danthonioides,,4.5,,22.3,,580,,108,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
cinereum_Orr_2016,Desmodium,cinereum,,3,,12.8,,403,,97.5,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
intortum_Orr_2016,Desmodium,intortum,,3.3,,14.2,,394,,98.7,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
psilocarpum_Orr_2016,Desmodium,psilocarpum,,3.6,,15.6,,452,,95.9,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
farctus_Orr_2016,Elymus,farctus,,3.3,,19.5,,300,,106,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
tef_Orr_2016,Eragrostis,tef,,7.1,,34.9,,640,,89,,25,1B,canon,C4 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
flabelliformis_Orr_2016,Erythrina,flabelliformis,,3.6,,18.4,,665,,96.4,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
globulus_Sharwood_2017,Eucalyptus,globulus,,3,,9.8,,220,,80.4,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2017
