identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,group,note,short_ref
burtonii_Wilson_2016,Methanococcoides,burtonii,,0.6,,56.9,,11,,1.3,,25,2_3,alt,Archaea,Archaea,Methods from Whitney & Sharwood 2007; pKa not needed for Sc/o,Wilson 2016
velutina_Orr_2016,Musa,velutina,,3.2,,19,,564,,111,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
tabacum_Iñiguez_2021,Nicotiana,tabacum,,2.4,,10.9,,382,,83.5,,25,1B,canon,C3 plants,Plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars,Iñiguez 2021
tabacum_Occhialini_2015,Nicotiana,tabacum,,3.9,,9,,292,,91.2,,25,1B,canon,C3 plants,Plants,"Assays in tobacco leaf tissue homogeonate; only cites CO2 concentration, not pKa used for citation. I think it's impossible to determine it from what's given in the paper.",Occhialini 2015
tabacum_Orr_2016,Nicotiana,tabacum,PH,4.4,,21.2,,452,,96.4,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
tabacum_Sharwood_2016b,Nicotiana,tabacum,,3.1,,9.7,,283,,82.6,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
tabacum_Sharwood_2017,Nicotiana,tabacum,,3.1,,9.4,,236,,82.3,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2017
tabacum_Whitney_2001,Nicotiana,tabacum,,3.4,,10.7,,295,,82,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; assumed 6.25 for pKa as Whitney papers have been using that value since 1999,Whitney 2001
tabacum_Whitney_2011b,Nicotiana,tabacum,,3.2,,12.6,,274,,81,,25,1B,canon,C3 plants,Plants,,Whitney 2011b
tabacum_Young_2016,Nicotiana,tabacum,,3.1,,9.7,,283,,82,,25,1B,canon,C3 plants,Plants,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
luteus_Read_1994,Olisthodiscus,luteus,,0.83,,59,,692,,100,,25,1D,canon,Brown algae,Algae,,Read 1994
barthii/glaberrima_Orr_2016,Oryza,barthii/glaberrima,,2.5,,14,,479,,107,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
eichingeri_Orr_2016,Oryza,eichingeri,,2.5,,14.1,,612,,107,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
glaberrima_Orr_2016,Oryza,glaberrima,WAB 1939,2.7,,14.9,,586,,105,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
glumaepatula_Orr_2016,Oryza,glumaepatula,,2.4,,15.2,,484,,109,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
longistaminata_Orr_2016,Oryza,longistaminata,,2.2,,15.1,,757,,108,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
meridionalis_Orr_2016,Oryza,meridionalis,,2.6,,14.6,,382,,107,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
nivara_Orr_2016,Oryza,nivara,,2.7,,15.6,,611,,107,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
punctata_Orr_2016,Oryza,punctata,,2.7,,14.9,,342,,109,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
oryza_sativa_Hermida-Carrera_2016,Oryza,sativa,Bomba,2.1,,8,,222,,93.1,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
sativa_Makino_1988,Oryza,sativa,,2.001,,8,,335,,127.7,,25,1B,canon,C3 plants,Plants,S calculated from Vo given,Makino 1988
sativa_indica_Orr_2016,Oryza,sativa,Indica,2.2,,7,,269,,101,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
sativa_japonica_Orr_2016,Oryza,sativa,Japonica,2.8,,11.8,,469,,106,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
rubra_Orr_2016,Oxybasis,rubra,,4.1,,14.5,,346,,97.8,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
amarum_Orr_2016,Panicum,amarum,,3.2,,33.1,,800,,89.5,,25,1B,canon,C4 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
bisulcatum_Sharwood_2016b,Panicum,bisulcatum,,2.6,,7.8,,416,,87.7,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
coloratum_Sharwood_2016b,Panicum,coloratum,,3.4,,11.1,,445,,84.8,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
deustum_Sharwood_2016b,Panicum,deustum,,5,,15.4,,306,,84.8,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
dichotomiflorum_Orr_2016,Panicum,dichotomiflorum,,3.1,,36.3,,1540,,92.6,,25,1B,canon,C4 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
miliaceum_Sharwood_2016b,Panicum,miliaceum,,2.1,,7.2,,313,,79.9,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
milioides_Sharwood_2016b,Panicum,milioides,,2.2,,7.4,,387,,92.3,,25,1B,canon,C3-C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
monticola_Sharwood_2016b,Panicum,monticola,K1,5.3,,18.2,,543,,79.4,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
phragmitoides_Orr_2016,Panicum,phragmitoides,,2.8,,25.1,,687,,107,,25,1B,canon,C4 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
virgatum_Sharwood_2016b,Panicum,virgatum,,3.3,,12.7,,271,,82.6,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
dilatatum_Carmo-Silva_2010,Paspalum,dilatatum,,3.6,,19.9,,415,,88,,25,1B,canon,C4 plants,Plants,,Carmo-Silva 2010
lutheri_Heureux_2017,Pavlova,lutheri,,2.5,,14.5,,1150,,125,,25,1D,canon,Haptophytes,Algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017
tricornutum_Whitney_2001,Phaeodactylum,tricornutum,,3.4,,27.9,,467,,113,,25,1D,canon,Diatoms,Algae,pKa not needed for Sc/o; assumed 6.25 for pKa as Whitney papers have been using that value since 1999,Whitney 2001
tricornutum_CS_29_Young_2016,Phaeodactylum,tricornutum,CS-29,3.3,,41,,664,,116,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
tricornutum_UTEX_642_Young_2016,Phaeodactylum,tricornutum,UTEX 642,3.2,,36,,592,,108,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
carteri_Orr_2016,Phaseolus,carteri,,3.2,,14.2,,422,,84.5,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
coccineus_Orr_2016,Phaseolus,coccineus,,3.9,,15.6,,491,,104,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
lunatus_Orr_2016,Phaseolus,lunatus,,3.2,,17.3,,537,,101,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
phaseolus_vulgaris_Hermida-Carrera_2016,Phaseolus,vulgaris,Contender,1.7,,7.8,,325,,99.7,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
phaseolus_vulgaris_Orr_2016,Phaseolus,vulgaris,,3.5,,20.2,,463,,105,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
carterae_Heureux_2017,Pleurochrysis,carterae,,3.3,,17.7,,366,,102,,25,1D,canon,Haptophytes,Algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Heureux 2017
palustris_Orr_2016,Poa,palustris,,4.2,,19.2,,562,,112,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
cruentum_Read_1994,Porphyridium,cruentum,,1.59,,22,,1570,,129,,25,1D,canon,Red algae,Algae,,Read 1994
marinus_Shih_2016,Prochlorococcus,marinus,MIT9313,6.58,,309,,1400,,59.9,,25,1Ac,canon,Cyanobacteria,Bacteria,pKa from Iniguez et al. 2021,Shih 2016
distans_Orr_2016,Puccinellia,distans,,5.4,,22.2,,488,,104,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
lemmonii_Orr_2016,Puccinellia,lemmonii,,5.2,,28.1,,1120,,102,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
maritima_Orr_2016,Puccinellia,maritima,,5.4,,20.8,,676,,106,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
nuttalliana_Orr_2016,Puccinellia,nuttalliana,,4,,25.2,,717,,105,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
montana_Orr_2016,Pueraria,montana,,2.7,,20.9,,679,,101,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
sphaeroides_Zhou_2019,Cereibacter,sphaeroides,,3.7,,60,,1724,,58,,25,1C,,Alphaproteobacteria,Bacteria,pKa & pH from Wilson et al. 2018,Zhou 2019
palustris_Satagopan_2014,Rhodopseudomonas,palustris,CGA009,4.9,,104,,277,,12,,30,2,,Alphaproteobacteria,Bacteria,pKa from Iniguez et al. 2021,Satagopan 2014
rubrum_Iñiguez_2021,Rhodospirillum,rubrum,,4.3,,78.4,,242,,11.3,,25,2,,Alphaproteobacteria,Bacteria,methodology-corrected average from Iñiguez et al. 2021 across multiple strains,Iñiguez 2021
rubrum_Mueller-Cajar_2007,Rhodospirillum,rubrum,,12.3,,149,,159,,9,,25,2,,Alphaproteobacteria,Bacteria,"Used Kane method for S so no pKa correction needed; no pKa listed for Kc, but cites Whitney & Sharwood 2007; Whitney & Sharwood 2007 does not report pKa, but Iniguez et al. 2021 cites a pKa of 6.25 for that study",Mueller-Cajar 2007
rubrum_Satagopan_2014,Rhodospirillum,rubrum,,4.3,,125,,143,,13,,30,2,,Alphaproteobacteria,Bacteria,pKa from Iniguez et al. 2021,Satagopan 2014
officinarum_Hermida-Carrera_2016,Saccharum,officinarum,hybrid S. officinarum x Saccharum spontaneum,3.9,,26.3,,1256,,82.2,,25,1B,canon,C4 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
cereale_Prins_2016,Secale,cereale,Agronom,3.23,,20.2,,472,,91.5,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
viridis_Boyd_2015,Setaria,viridis,,5.44,,31.22,,359,,58.41,,25,1B,canon,C4 plants,Plants,kcatC is the only thing reported directly; calculated in Iniguez et al. 2019,Boyd 2015
viridis_Sharwood_2016b,Setaria,viridis,,5.9,,18.1,,619,,72.7,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
marinoi_Valegård_2018,Skeletonema,marinoi,,4.665,,48,,1810,,96,,25,1D,canon,Diatoms,Algae,pH from Carmo-Silva et al. 2010,Valegård 2018
lycopersicum_Hermida-Carrera_2016,Solanum,lycopersicum,Roma VF,2.3,,9.7,,363,,92.4,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
tuberosum_Hermida-Carrera_2016,Solanum,tuberosum,Erlanger,2,,9.6,,295,,95.4,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
stenocarpa_Orr_2016,Sphenostylis,stenocarpa,,2.8,,17.4,,574,,93.6,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
oleracea_Hermida-Carrera_2016,Spinacia,oleracea,Butterfly,2.4,,14.1,,284,,97,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
oleracea_Iñiguez_2021,Spinacia,oleracea,,1.9,,11.9,,479,,87.2,,25,1B,canon,C3 plants,Plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivats,Iñiguez 2021
oleracea_1_Jordan_1984,Spinacia,oleracea,,1.719,,11,,500,,88,,25,1B,canon,C3 plants,Plants,Table 2; Sc/o determined with a different method so that pKa adjustment was not necessary; kcat converted from Vc with factor of 1.146,Jordan 1984
oleracea_Kubien_2008,Spinacia,oleracea,,3.2,,12.1,,574,,79.8,,25,1B,canon,C3 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
oleracea_Zhu_1998,Spinacia,oleracea,,2.7,,11,,520,,92,,25,1B,canon,C3 plants,Plants,"Very light on details, pH could be wrong for kcat",Zhu 1998
laxum_Sharwood_2016b,Steinchisma,laxum,,2.3,,7.7,,419,,91.4,,25,1B,canon,C3 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
elongatus_Mueller-Cajar_2008,Synechococcus,elongatus,6301,11.8,,200,,199,,41.5,,25,1Bc,canon,Cyanobacteria,Bacteria,"Used Kane method for S so no pKa correction needed; no pKa listed for Kc, but cites Whitney & Sharwood 2007; Whitney & Sharwood 2007 does not report pKa, but Iniguez et al. 2021 cites a pKa of 6.25 for that study",Mueller-Cajar 2008
elongatus_Read_1992b,Synechococcus,elongatus,6301,2.57,,142,,664,,41,,25,1Bc,canon,Cyanobacteria,Bacteria,kcat value is suspect here. unclear how they quantitated protein. it's OK since we have other measurements of this rubisco,Read 1992b
elongatus_Read_1994,Synechococcus,elongatus,6301,3.71,,167,,529,,41,,25,1Bc,canon,Cyanobacteria,Bacteria,kcat value is suspect here. unclear how they quantitated protein. it's OK since we have other measurements of this rubisco,Read 1994
elongatus_Shih_2016,Synechococcus,elongatus,6301,9.78,,152,,1230,,50.3,,25,1Bc,canon,Cyanobacteria,Bacteria,pKa from Iniguez et al. 2021,Shih 2016
elongatus_Zhu_1998,Synechococcus,elongatus,6301,6.6,,81,,460,,47,,25,1Bc,canon,Cyanobacteria,Bacteria,"In Galmes et al., species is 'lividus', but based on the protein sequence & date, it's actually elongatus PCC6301. In primary source 'wildtype.' Very light on details, pH could be wrong for kcat",Zhu 1998
synechococcus_sp_Iñiguez_2021,Synechococcus,sp,,7,,139.6,,690,,43.9,,25,1B,canon,Cyanobacteria,Bacteria,methodology-corrected average from Iñiguez et al. 2021 across multiple strains,Iñiguez 2021
candida_Orr_2016,Tephrosia,candida,,2.2,,15.9,,481,,97.8,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
purpurea_Orr_2016,Tephrosia,purpurea,,2.2,,12.4,,333,,103,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
rhodesica_Orr_2016,Tephrosia,rhodesica,,2.2,,13.7,,565,,91.6,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
hyalina_Valegård_2018,Thalassiosira,hyalina,,4.101,,50,,1640,,99,,25,1D,canon,Diatoms,Algae,pH from Carmo-Silva et al. 2010,Valegård 2018
nordenskioeldii_Valegård_2018,Thalassiosira,nordenskioeldii,,4.658,,122,,1420,,82,,25,1D,canon,Diatoms,Algae,pH from Carmo-Silva et al. 2010,Valegård 2018
oceanica_Young_2016,Thalassiosira,oceanica,CS-427,2.4,,65,,954,,80,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
weissflogii_Young_2016,Thalassiosira,weissflogii,CCMP1336,3.2,,65,,2030,,79,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
kodakarensis_Kreel_2015,Thermococcus,kodakarensis,,16.6,,79,,43,,6,,83,3,alt,Archaea,Archaea,"Points to Kreel & Tabita 2007, but no pKa given there either. KC determined anaerobically",Kreel 2015
kodakarensis_Yoshida_2007,Thermococcus,kodakarensis,,0.25,,52.3,,900,,11,,25,3,alt,Archaea,Archaea,,Yoshida 2007
elongatus_Gubernator_2008,Thermosynechococcus,vestitus,,2.65,,54.3,,841,,82.1,,25,1Bc,canon,Cyanobacteria,Bacteria,,Gubernator 2008
elongatus_Occhialini_2015,Thermosynechococcus,vestitus,7942,14.4,,172,,585,,43,,25,1Bc,canon,Cyanobacteria,Bacteria,"Heterologously expressed in Tobacco. Also data in the paper where rbcX is co-expressed - about the same. Only cites CO2 concentration, not pKa used for calculation. I think it's impossible to determine it from what's given in the paper.",Occhialini 2015
denitrificans_2_Hernandez_1996,Thiobacillus,denitrificans,,3.5,,256,,619,,13.3,,25,2,,Betaproteobacteria,Bacteria,"Points to read & tabita 1992 for methods. Calculated S from reported values, which is slightly different than reported S of 14",Hernandez 1996
denitrificans_Iaq_Hernandez_1996,Thiobacillus,denitrificans,,1.9,,138,,1640,,42.7,,25,1Aq,,Betaproteobacteria,Bacteria,"Points to read & tabita 1992 for methods. Calculated S from values, which is slightly different than reported 46",Hernandez 1996
lutea_Heureux_2017,Tisochrysis,lutea,,2.2,,24.1,,800,,89,,25,1D,canon,Haptophytes,Algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017
Cando_Prins_2016,Triticale,Cando,,3.62,,16.1,,384,,99.7,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
Rotego_Prins_2016,Triticale,Rotego,,3.46,,15.1,,369,,96.8,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
Talentro_Prins_2016,Triticale,Talentro,,3.36,,15.8,,436,,95.2,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
aestivum_Carmo-Silva_2010,Triticum,aestivum,,3,,10.9,,341,,100,,25,1B,canon,C3 plants,Plants,,Carmo-Silva 2010
aestivum_Hermida-Carrera_2016,Triticum,aestivum,Cajeme,2.2,,11.3,,620,,100,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
aestivum_Iñiguez_2021,Triticum,aestivum,,2.7,,11.9,,429,,96.3,,25,1B,canon,C3 plants,Plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars,Iñiguez 2021
aestivum_Makino_1988,Triticum,aestivum,,2.964,,11.2,,383,,119.9,,25,1B,canon,C3 plants,Plants,S calculated from Vo given,Makino 1988
aestivum_Orr_2016,Triticum,aestivum,,4.9,,20.1,,658,,100,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
aestivum_C_Prins_2016,Triticum,aestivum,C,3.57,,16,,402,,100,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
aestivum_SATYN_II_9410_Prins_2016,Triticum,aestivum,SATYN_II_9410,3.26,,17.6,,469,,93.8,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
aestivum_SATYN_II_9440_Prins_2016,Triticum,aestivum,SATYN_II_9440,3.33,,17.9,,465,,96.2,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
aestivum_SATYN_II_9428_Prins_2016,Triticum,aestivum,SATYN_II_9428,3.64,,15.7,,379,,92.9,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
aestivum_Zhu_1998,Triticum,aestivum,,2.5,,14,,730,,98,,25,1B,canon,C3 plants,Plants,"Very light on details, pH could be wrong for kcat",Zhu 1998
boeoticum_Orr_2016,Triticum,boeoticum,,3.8,,19.7,,905,,96,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
dicoccon_ENT_2129_Prins_2016,Triticum,dicoccon,CI12214 (ENT:2129),3.55,,15.4,,399,,94.1,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
dicoccon_ENT_2128_Prins_2016,Triticum,dicoccon,CI12214 (ENT:2128),3.57,,13.5,,397,,90.9,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
dicoccon_PI355483_Prins_2016,Triticum,dicoccon,PI355483,3.36,,16.8,,456,,95.2,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
dicoccon_ENT_2126_Prins_2016,Triticum,dicoccon,CI12214 (ENT:2126),3.55,,18.6,,485,,93.8,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
monococcum_Prins_2016,Triticum,monococcum,,3.18,,14,,401,,104,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
timonovum_Prins_2016,Triticum,timonovum,,3.48,,16.8,,495,,101,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
timopheevii_Prins_2016,Triticum,timopheevii,,3.43,,16.2,,429,,102,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
mosambicensis_Sharwood_2016b,Urochloa,mosambicensis,,5.7,,14.8,,464,,82.5,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
panicoides_Sharwood_2016b,Urochloa,panicoides,,5.6,,15.4,,444,,78.3,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
mays_Hermida-Carrera_2016,Zea,mays,Carella,4.1,,31.6,,784,,87.3,,25,1B,canon,C4 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
mays_Iñiguez_2021,Zea,mays,,3.7,,21,,444,,87.7,,25,1B,canon,C4 plants,Plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars,Iñiguez 2021
mays_Kubien_2008,Zea,mays,,4.05,,21.2,,157,,74.9,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
mays_Young_2016,Zea,mays,,5.5,,19,,397,,88,,25,1B,canon,C4 plants,Plants,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
japonica_Carmo-Silva_2010,Zoysia,japonica,,4.4,,18.5,,403,,84.1,,25,1B,canon,C4 plants,Plants,,Carmo-Silva 2010
synechococcus_aguiló-nicolau_2023,Synechococcus,sp,PCC 6301,8.7,,147.2,,631.6,,48.2,,25,1Bc,canon,Cyanobacteria,Bacteria,Kane method for Sc/o so no pKa needed,Aguiló-Nicolau 2023
thermalis_aguiló-nicolau_2023,Chroococcidiopsis,thermalis,KOMAREK 1964/111,9.1,,87.3,,1162.6,,66,,25,1Bc,canon,Cyanobacteria,Bacteria,Kane method for Sc/o so no pKa needed,Aguiló-Nicolau 2023
angustifolia_capó-bauçà_2023,Posidonia,angustifolia,,1.9,,22,,1313,,93.3,,25,1B,canon,Aquatic plants,Plants,Used Kane method for Sc/o so no need for pKa; pKa for Kc from Sharwood 2016 via Iñiguez 2021,Capó-Bauçà 2023
australis_capó-bauçà_2023,Posidonia,australis,,1.84,,21.1,,1142,,91.5,,25,1B,canon,Aquatic plants,Plants,Used Kane method for Sc/o so no need for pKa; pKa for Kc from Sharwood 2016 via Iñiguez 2021,Capó-Bauçà 2023
coriacea_capó-bauçà_2023,Posidonia,coriacea,,2.13,,20.1,,1139,,90,,25,1B,canon,Aquatic plants,Plants,Used Kane method for Sc/o so no need for pKa; pKa for Kc from Sharwood 2016 via Iñiguez 2021,Capó-Bauçà 2023
sinuosa_capó-bauçà_2023,Posidonia,sinuosa,,1.41,,19.6,,995,,93.1,,25,1B,canon,Aquatic plants,Plants,Used Kane method for Sc/o so no need for pKa; pKa for Kc from Sharwood 2016 via Iñiguez 2021,Capó-Bauçà 2023
oceanica_capó-bauçà_2023,Posidonia,oceanica,,2.19,,45,,1329,,90.1,,25,1B,canon,Aquatic plants,Plants,Used Kane method for Sc/o so no need for pKa; pKa for Kc from Sharwood 2016 via Iñiguez 2021,Capó-Bauçà 2023
gallionella_liu_2022,Gallionella,sp,,15.7,,172,,92,,22,,25,2,,Betaproteobacteria,Bacteria,Uses Parry method for Sc/o,Liu 2022
lanceolatum_capó-bauçà_2022a,Alisma,lanceolatum,,3.42,,12.2,,463.8,,81.7,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
maritima_capó-bauçà_2022a,Triglochin,maritima,,2.19,,7.2,,414.2,,79.3,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
demersum_capó-bauçà_2022a,Ceratophyllum,demersum,,3.61,,14.9,,525.5,,82.7,,25,1B,canon,Basal angiosperms,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
gigantea_capó-bauçà_2022a,Vallisneria,gigantea,,3.44,,13.2,,401.9,,82,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
