identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
Cando_prins_2016,Triticale,Cando,,3.62,,16.1,,384,,99.7,,25,1B,canon,C3 plants,Prins 2016
Rotego_prins_2016,Triticale,Rotego,,3.46,,15.1,,369,,96.8,,25,1B,canon,C3 plants,Prins 2016
Talentro_prins_2016,Triticale,Talentro,,3.36,,15.8,,436,,95.2,,25,1B,canon,C3 plants,Prins 2016
aestivum_carmo_2010,Triticum,aestivum,,3,,10.9,,341,,100,,25,1B,canon,C3 plants,Carmo-Silva 2010
aestivum_corrected_average,Triticum,aestivum,,2.7,,11.9,,428.9,,96.3,,25,1B,canon,C3 plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars
aestivum_hermida_2016,Triticum,aestivum,,2.2,,11.3,,620,,100,,25,1B,canon,C3 plants,Hermida-Carrera 2016
aestivum_orr_2016,Triticum,aestivum,,4.9,,20.1,,658,,100,,25,1B,canon,C3 plants,Orr 2016
aestivum_zhu_1998,Triticum,aestivum,,2.5,,14,,730,,98,,25,1B,canon,C3 plants,Zhu 1998
aestivum1_prins_2016,Triticum,aestivum,C,3.57,,16,,402,,100,,25,1B,canon,C3 plants,Prins 2016
aestivum2_prins_2016,Triticum,aestivum,SATYN_II_9410,3.26,,17.6,,469,,93.8,,25,1B,canon,C3 plants,Prins 2016
aestivum3_prins_2016,Triticum,aestivum,SATYN_II_9440,3.33,,17.9,,465,,96.2,,25,1B,canon,C3 plants,Prins 2016
aestivum4_prins_2016,Triticum,aestivum,SATYN_II_9428,3.64,,15.7,,379,,92.9,,25,1B,canon,C3 plants,Prins 2016
boeoticum_orr_2016,Triticum,boeoticum,,3.8,,19.7,,905,,96,,25,1B,canon,C3 plants,Orr 2016
dicoccon1_prins_2016,Triticum,dicoccon,ENT:2129,3.55,,15.4,,399,,94.1,,25,1B,canon,C3 plants,Prins 2016
dicoccon2_prins_2016,Triticum,dicoccon,ENT:2128,3.57,,13.5,,397,,90.9,,25,1B,canon,C3 plants,Prins 2016
dicoccon3_prins_2016,Triticum,dicoccon,PI355483,3.36,,16.8,,456,,95.2,,25,1B,canon,C3 plants,Prins 2016
dicoccon4_prins_2016,Triticum,dicoccon,ENT:2126,3.55,,18.6,,485,,93.8,,25,1B,canon,C3 plants,Prins 2016
monococcum_prins_2016,Triticum,monococcum,,3.18,,14,,401,,104,,25,1B,canon,C3 plants,Prins 2016
timonovum_prins_2016,Triticum,timonovum,,3.48,,16.8,,495,,101,,25,1B,canon,C3 plants,Prins 2016
timopheevii_prins_2016,Triticum,timopheevii,,3.43,,16.2,,429,,102,,25,1B,canon,C3 plants,Prins 2016
mosambicensis_sharwood_2016,Urochloa,mosambicensis,,5.7,,14.8,,464,,82.5,,25,1B,canon,C4 plants,Sharwood 2016
panicoides_sharwood_2016,Urochloa,panicoides,,5.6,,15.4,,444,,78.3,,25,1B,canon,C4 plants,Sharwood 2016
mays_corrected_average,Zea,mays,,3.7,,21,,444.1,,87.7,,25,1B,canon,C4 plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars
mays_hermida_2016,Zea,mays,,4.1,,31.6,,784,,87.3,,25,1B,canon,C4 plants,Hermida-Carrera 2016
mays_kubien_2008,Zea,mays,,4.05,,21.2,,157,,74.9,,25,1B,canon,C4 plants,Kubien 2008
mays_young_2016,Zea,mays,,5.5,,19,,397,,88,,25,1B,canon,C4 plants,Young 2016
japonica_carmo_2010,Zoysia,japonica,,4.4,,18.5,,403,,84.1,,25,1B,canon,C4 plants,Carmo-Silva 2010
average_Iac,Average,1Ac,,7.77,,282,,1310,,53,,25,1Ac,,Cyanobacteria/Gammaproteobacteria,this package
average_Iaq,Average,1Aq,,6.13,,59,,965,,43,,25,1Aq,,Proteobacteria,this package
average_IB,Average,1B,,3.31,,19.3,,470,,93,,25,1B,canon,Plants/Algae,this package
average_C3_IB,Average,1B,,2.99,,16.6,,457,,98,,25,1B,canon,C3 plants,this package
average_C4_IB,Average,1B,,4.47,,30.5,,521,,83,,25,1B,canon,C4 plants,this package
average_algae_IB,Average,1B,,2.39,,33.3,,495,,62,,25,1B,,Green algae,this package
average_Ibc,Average,1Bc,,8.89,,168,,714,,44,,25,1Bc,,Cyanobacteria,this package
average_IC,Average,1C,,3.56,,48,,1282,,64,,25,1C,,Proteobacteria,this package
average_ID,Average,1D,,2.46,,35.8,,948,,111,,25,1D,,Brown/red Algae,this package
average_diatom_ID,Average,1D,,3.09,,51.9,,987,,91,,25,1D,,Diatoms,this package
average_2,Average,II,,6.12,,116,,351,,11,,25,2,,Proteobacteria,this package
average_CAM_IB,Average,1B,,3.83,,13,,315,,89,,25,1B,canon,CAM plants,this package
composite_vinosum,Allochromatium,vinosum,,5.3,,32.6,,290,,43,,25,1Aq,,Gammaproteobacteria,"composite: kcat from Iñiguez et al. 2021 methodology-corrected average across multiple cultivars, other kinetics averages from collected studies"
composite_thaliana,Arabidopsis,thaliana,,3.2,,9.9,,333,,98,,25,1B,canon,C3 plants,"composite: kcat from Iñiguez et al. 2021 methodology-corrected average across multiple cultivars, Kc and Ko from Galmés et al. 2014, specificity from this package's avg. C3 plant kinetics"
composite_glycine_max,Glycine,max,,1.5,,10.8,,496,,93,,25,1B,canon,C3 plants,"composite: kcat, Kc, Ko from Iñiguez et al. 2021 methodology-corrected average; specificity average of collected studies"
composite_annuus,Helianthus,annuus,,1.7,,9.4,,457,,98,,25,1B,canon,C3 plants,"composite: kcat from Iñiguez et al. 2021 method-corrected average, Kc from Makino et al. 1985, Ko from this package's avg. C3 plant, specificity average of collected studies"
composite_sativa,Oryza,sativa,,1.8,,9.5,,332,,107,,25,1B,canon,C3 plants,"composite: kcat, Kc, Ko from Iñiguez et al. 2021 methodology-corrected average; specificity average of collected studies"
composite_vulgaris,Phaseolus,vulgaris,,2.4,,14,,394,,102,,25,1B,canon,C3 plants,"composite: kcat from Iñiguez et al. 2021 method-corrected average; Kc, Ko, specificity average of Hermida-Carrera et al. 2016 & Orr et al. 2016"
