identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
arabica_hermida_2016,Coffea,arabica,,2.1,,11,,238,,98.7,,25,1B,canon,C3 plants,Hermida-Carrera 2016
maxima_hermida_2016,Cucurbita,maxima,,2.2,,9,,228,,98.4,,25,1B,canon,C3 plants,Hermida-Carrera 2016
cylindrotheca_read_1992b,Cylindrotheca,sp,,0.97,,33,,631,,107.1,,25,1D,,Diatoms,Read 1992b
cylindrotheca_read_1994,Cylindrotheca,sp,,0.78,,31,,1290,,106,,25,1D,,Diatoms,Read 1994
fusiformis_read_1994,Cylindrotheca,fusiformis,,1.95,,36,,568,,111,,25,1D,,Diatoms,Read 1994
dactylon_carmo_2010,Cynodon,dactylon,,4,,21,,402,,89.2,,25,1B,canon,C4 plants,Carmo-Silva 2010
danthonioides_orr_2016,Deschampsia,danthonioides,,4.5,,22.3,,580,,108,,25,1B,canon,C3 plants,Orr 2016
cinereum_orr_2016,Desmodium,cinereum,,3,,12.8,,403,,97.5,,25,1B,canon,C3 plants,Orr 2016
intortum_orr_2016,Desmodium,intortum,,3.3,,14.2,,394,,98.7,,25,1B,canon,C3 plants,Orr 2016
psilocarpum_orr_2016,Desmodium,psilocarpum,,3.6,,15.6,,452,,95.9,,25,1B,canon,C3 plants,Orr 2016
farctus_orr_2016,Elymus,farctus,,3.3,,19.5,,300,,106,,25,1B,canon,C3 plants,Orr 2016
tef_orr_2016,Eragrostis,tef,,7.1,,34.9,,640,,89,,25,1B,canon,C4 plants,Orr 2016
flabelliformis_orr_2016,Erythrina,flabelliformis,,3.6,,18.4,,665,,96.4,,25,1B,canon,C3 plants,Orr 2016
globulus_sharwood_2017,Eucalyptus,globulus,,3,,9.8,,220,,80.4,,25,1B,canon,C3 plants,Sharwood 2017
helioscopia_orr_2016,Euphorbia,helioscopia,,1.9,,11.5,,453,,96.8,,25,1B,canon,C3 plants,Orr 2016
microsphaera_orr_2016,Euphorbia,microsphaera,,4.5,,25.8,,546,,99.7,,25,1B,canon,C3 plants,Orr 2016
gigantea_orr_2016,Festuca,gigantea,,5.1,,31.2,,595,,108,,25,1B,canon,C3 plants,Orr 2016
pratensis_orr_2016,Festuca,pratensis,,5.1,,23.1,,686,,106,,25,1B,canon,C3 plants,Orr 2016
anomala_kubien_2008,Flaveria,anomala,,3.8,,10.7,,605,,77.9,,25,1B,canon,C3-C4 plants,Kubien 2008
