short_ref,pmid_or_doi,citation
Du and Spreitzer 2000,10779514,"Du, Y. C. & Spreitzer, R. J. Suppressor mutations in the chloroplast-encoded large subunit improve the thermal stability of wild-type ribulose-1,5-bisphosphate carboxylase/oxygenase. J Biol Chem 275, 19844–19847 (2000)."
Ezaki 1999,9988755,"Ezaki, S., Maeda, N., Kishimoto, T., Atomi, H. & Imanaka, T. Presence of a structurally novel type ribulose-bisphosphate carboxylase/oxygenase in the hyperthermophilic archaeon, Pyrococcus kodakaraensis KOD1. J Biol Chem 274, 5078–5082 (1999)."
Gago 2013,23692357,"Gago, J. et al. Photosynthesis limitations in three fern species. Physiol Plant 149, 599–611 (2013)."
Galmés 2005,10.1111/j.1365-3040.2005.01300.x,"Galmés, J. et al. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant Cell & Environment 28, 571–579 (2005)."
Galmés 2014a,24861241,"Galmés, J. et al. Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol 203, 989–999 (2014)."
Galmés 2014b,24689692,"Galmés, J. et al. Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ 37, 1989–2001 (2014)."
Galmés 2015,10.1007/s11120-014-0067-8,"Galmés, J., Kapralov, M. V., Copolovici, L. O., Hermida-Carrera, C. & Niinemets, Ü. Temperature responses of the Rubisco maximum carboxylase activity across domains of life: phylogenetic signals, trade-offs, and importance for carbon gain. Photosynth Res 123, 183–201 (2015)."
Galmés 2016,10.1093/jxb/erw267,"Galmés, J., Hermida-Carrera, C., Laanisto, L. & Niinemets, Ü. A compendium of temperature responses of Rubisco kinetic traits: variability among and within photosynthetic groups and impacts on photosynthesis modeling. EXBOTJ 67, 5067–5091 (2016)."
Genkov and Spreitzer 2009,19734149,"Genkov, T. & Spreitzer, R. J. Highly conserved small subunit residues influence rubisco large subunit catalysis. J Biol Chem 284, 30105–30112 (2009)."
Ghannoum 2005,15665246,"Ghannoum, O. et al. Faster Rubisco is the key to superior nitrogen-use efficiency in NADP-malic enzyme relative to NAD-malic enzyme C4 grasses. Plant Physiol 137, 638–650 (2005)."
Gibson 1977,10.1016/S0021-9258(19)75189-8,"Gibson, J. L. & Tabita, F. R. Different molecular forms of D-ribulose-1,5-bisphosphate carboxylase from Rhodopseudomonas sphaeroides. Journal of Biological Chemistry 252, 943–949 (1977)."
Goudet 2020,10.1111/nph.16577,"Goudet, M. M. M. et al. Rubisco and carbon‐concentrating mechanism co‐evolution across chlorophyte and streptophyte green algae. New Phytologist 227, 810–823 (2020)."
Greene 2007,17391103,"Greene, D. N., Whitney, S. M. & Matsumura, I. Artificially evolved Synechococcus PCC6301 Rubisco variants exhibit improvements in folding and catalytic efficiency. Biochem J 404, 517–524 (2007)."
Griffiths 2008,18408219,"Griffiths, H., Robe, W. E., Girnus, J. & Maxwell, K. Leaf succulence determines the interplay between carboxylase systems and light use during Crassulacean acid metabolism in Kalanchöe species. J Exp Bot 59, 1851–1861 (2008)."
Gubernator 2008,17922215,"Gubernator, B., Bartoszewski, R., Kroliczewski, J., Wildner, G. & Szczepaniak, A. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic cyanobacterium Thermosynechococcus elongatus. Photosynth Res 95, 101–109 (2008)."
Gutteridge 1984,16453576,"Gutteridge, S. et al. A site-specific mutation within the active site of ribulose-1,5-bisphosphate carboxylase of Rhodospirillum rubrum. EMBO J 3, 2737–2743 (1984)."
Gutteridge 1986,10.1098/rstb.1986.0050,"Gutteridge, S., Phillips, A. L., Kettleborough, C. A., Parry, M. A. J. & Keys, A. J. Expression of bacterial Rubisco genes in Escherichia coli. Philosophical Transactions of the Royal Society of London. B, Biological Sciences 313, 433–445 (1986)."
Hanson 2002,10.1071/PP01210,"Hanson, D., Andrews, T. J. & Badger, M. R. Variability of the pyrenoid-based CO 2 concentrating mechanism in hornworts (Anthocerotophyta). Australian Journal of Plant Physiology 29, 407–416 (2002)."
Haslam 2005,10.1007/4-431-31014-2_18,"Haslam, R. P. et al. Specificity of diatom Rubisco. in Plant Responses to Air Pollution and Global Change (eds Omasa, K., Nouchi, I. & De Kok, L. J.) 157–164 (Springer Japan, Tokyo, 2005). doi:10.1007/4-431-31014-2_18."
Hayashi 1998,10.1016/S0922-338X(97)86759-1,"Hayashi, N. R. et al. Different properties of gene products of three sets ribulose 1,5-bisphosphate carboxylase/oxygenase from a marine obligately autotrophic hydrogen-oxidizing bacterium, Hydrogenovibrio marinus strain MH-110. Journal of Fermentation and Bioengineering 85, 150–155 (1998)."
Hermida-Carrera 2016,27329223,"Hermida-Carrera, C., Kapralov, M. V. & Galmés, J. Rubisco Catalytic Properties and Temperature Response in Crops. Plant Physiol 171, 2549–2561 (2016)."
Hermida-Carrera 2020,10.1186/s12862-019-1551-8,"Hermida-Carrera, C. et al. Exploring molecular evolution of Rubisco in C3 and CAM Orchidaceae and Bromeliaceae. BMC Evol Biol 20, 11 (2020)."
Hernandez 1996,8550452,"Hernandez, J. M., Baker, S. H., Lorbach, S. C., Shively, J. M. & Tabita, F. R. Deduced amino acid sequence, functional expression, and unique enzymatic properties of the form I and form II ribulose bisphosphate carboxylase/oxygenase from the chemoautotrophic bacterium Thiobacillus denitrificans. J Bacteriol 178, 347–356 (1996)."
Heureux 2017,28582571,"Heureux, A. M. C. et al. The role of Rubisco kinetics and pyrenoid morphology in shaping the CCM of haptophyte microalgae. J Exp Bot 68, 3959–3969 (2017)."
Holuigue 1987,10.1111/j.1470-8744.1987.tb00493.x,"Holuigue, L., Herrera, L., Phillips, O. M. & Young, M. CO2 Fixation by Mineral‐Leaching Bacteria: Characteristics of the Ribulose Bisphosphate Carboxylase‐Oxygenase of ThiobaciIlus ferrooxidans. Biotech and App Biochem 9, 497–505 (1987)."
Horken and Tabita 1998,10.1006/abbi.1998.0979,"Horken, K. M. & Tabita, F. R. Closely Related Form I Ribulose Bisphosphate Carboxylase/Oxygenase Molecules That Possess Different CO2/O2Substrate Specificities. Archives of Biochemistry and Biophysics 361, 183–194 (1999)."
Hudson 1990,10.1016/s0021-9258(19)40121-x,"Hudson, G. S. et al. Comparisons of rbcL genes for the large subunit of ribulose-bisphosphate carboxylase from closely related C3 and C4 plant species. Journal of Biological Chemistry 265, 808–814 (1990)."
Iñiguez 2019,10.1093/jxb/ery443,"Iñiguez, C., Galmés, J. & Gordillo, F. J. L. Rubisco carboxylation kinetics and inorganic carbon utilization in polar versus cold-temperate seaweeds. Journal of Experimental Botany 70, 1283–1297 (2019)."
Iñiguez 2021,34329386,"Iñiguez, C., Niinemets, Ü., Mark, K. & Galmés, J. Analyzing the causes of method-to-method variability among Rubisco kinetic traits: from the first to the current measurements. J Exp Bot 72, 7846–7862 (2021)."
Ishikawa 2009,10.1626/pps.12.345,"Ishikawa, C., Hatanaka, T., Misoo, S. & Fukayama, H. Screening of High kcat Rubisco among Poaceae for Improvement of Photosynthetic CO2 Assimilation in Rice. Plant Production Science 12, 345–350 (2009)."
Ishikawa 2011,21562335,"Ishikawa, C., Hatanaka, T., Misoo, S., Miyake, C. & Fukayama, H. Functional incorporation of sorghum small subunit increases the catalytic turnover rate of Rubisco in transgenic rice. Plant Physiol 156, 1603–1611 (2011)."
Ito 2024,10.1007/s10265-023-01514-z,"Ito, K. et al. Equisetum praealtum and E. hyemale have abundant Rubisco with a high catalytic turnover rate and low CO2 affinity. J Plant Res 137, 255–264 (2024)."
Iwaki 2008,18295716,"Iwaki, T. et al. Inhibition of RuBisCO cloned from Thermosynechococcus vulcanus and expressed in Escherichia coli with compounds predicted by Molecular Operation Environment (MOE). J Biosci Bioeng 105, 26–33 (2008)."
Jordan 1981,10.1038/291513a0,"Jordan, D. B. & Ogren, W. L. Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291, 513–515 (1981)."
Jordan 1983,10.1016/0003-9861(83)90472-1,"Jordan, D. B. & Ogren, W. L. Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Archives of Biochemistry and Biophysics 227, 425–433 (1983)."
Jordan 1984,10.1007/BF00398720,"Jordan, D. B. & Ogren, W. L. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase: Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313 (1984)."
Jordan 1985,3918498,"Jordan, D. B. & Chollet, R. Subunit dissociation and reconstitution of ribulose-1,5-bisphosphate carboxylase from Chromatium vinosum. Arch Biochem Biophys 236, 487–496 (1985)."
Kane 1994,10.1071/PP9940449,"Kane, H. et al. An Improved Method for Measuring the CO2/O2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase. Australian Journal of Plant Physiology 21, 449–461 (1994)."
Kent and Tomany 1984,16663680,"Kent, S. S. & Tomany, M. J. Kinetic Variance of Ribulose-1,5-bisphosphate Carboxylase/Oxygenase Isolated from Diverse Taxonomic Sources : II. Analysis by Two Dual Label Methods. Plant Physiol 75, 645–650 (1984)."
Kent and Tomany 1995,na,"Kent, S. & Tomany, M. The differential of the ribulose 1,5-bisphosphate carboxylase/oxygenase specificity factor among higher plants and the potential for biomass enhancement. Plant Physiology and Biochemistry 33, 71–80 (1995)."
Kreel 2015,26381513,"Kreel, N. E. & Tabita, F. R. Serine 363 of a Hydrophobic Region of Archaeal Ribulose 1,5-Bisphosphate Carboxylase/Oxygenase from Archaeoglobus fulgidus and Thermococcus kodakaraensis Affects CO2/O2 Substrate Specificity and Oxygen Sensitivity. PLoS One 10, e0138351 (2015)."
Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V. & Jesson, L. K. The biochemistry of Rubisco in Flaveria. J Exp Bot 59, 1767–1777 (2008)."
Laing 1974,16658951,"Laing, W. A. Regulation of Soybean Net Photosynthetic CO(2) Fixation by the Interaction of CO(2), O(2), and Ribulose 1,5-Diphosphate Carboxylase. Plant Physiol 54, 678–685 (1974)."
