short_ref,pmid_or_doi,citation
Sharwood 2016a,10.1016/j.pbi.2016.04.002,"Sharwood, R. E., Ghannoum, O. & Whitney, S. M. Prospects for improving CO2 fixation in C3-crops through understanding C4-Rubisco biogenesis and catalytic diversity. Current Opinion in Plant Biology 31, 135–142 (2016)."
Sharwood 2016b,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H. & Whitney, S. M. Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186 (2016)."
Sharwood 2017,28064178,"Sharwood, R. E., Crous, K. Y., Whitney, S. M., Ellsworth, D. S. & Ghannoum, O. Linking photosynthesis and leaf N allocation under future elevated CO2 and climate warming in Eucalyptus globulus. J Exp Bot 68, 1157–1167 (2017)."
Shih 2016,26790750,"Shih, P. M. et al. Biochemical characterization of predicted Precambrian RuBisCO. Nat Commun 7, 10382 (2016)."
Shively 1978,659365,"Shively, J. M., Saluja, A. & McFadden, B. A. Ribulose bisphosphate carboxylase from methanol-grown Paracoccus denitrificans. J Bacteriol 134, 1123–1132 (1978)."
Snead and Shively 1979,10.1007/BF02601689,"Snead, R. M. & Shively, J. M. d-Ribulose-1,5-biphosphate carboxylase fromThiobacillus neapolitanus. Current Microbiology 1, 309–314 (1978)."
Steensma 2025,10.1093/plphys/kiae629,"Steensma, A. K. et al. Modeling with uncertainty quantification reveals the essentials of a non-canonical algal carbon-concentrating mechanism. Plant Physiology 197, kiae629 (2025)."
Sugawara 2025,10.1007/s10265-024-01606-4,"Sugawara, S., Ito, K., Miyazawa, S.-I., Makino, A. & Suzuki, Y. Enzymatic and quantitative properties of Rubisco in some conifers and lycopods. J Plant Res 138, 315–321 (2025)."
Terzaghi 1986,3092806,"Terzaghi, B. E., Laing, W. A., Christeller, J. T., Petersen, G. B. & Hill, D. F. Ribulose 1,5-bisphosphate carboxylase. Effect on the catalytic properties of changing methionine-330 to leucine in the Rhodospirillum rubrum enzyme. Biochem J 235, 839–846 (1986)."
Tsai 2025,10.1038/s44318-025-00419-y,"Tsai, Y.-C. C., Guo, Z., Milo, R. & Mueller-Cajar, O. Updated values for Table 1 of fastest rubisco carboxylation rates in Davidi et al 2020. EMBO J 44, 2397–2399 (2025)."
Uemura 1996,10.1093/oxfordjournals.pcp.a028949,"Uemura, K. et al. A Rapid and Sensitive Method for Determination of Relative Specificity of RuBisCO from Various Species by Anion-Exchange Chromatography. Plant and Cell Physiology 37, 325–331 (1996)."
Uemura 1997,9144578,"Uemura, K., Anwaruzzaman,    null, Miyachi, S. & Yokota, A. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilic red algae with a strong specificity for CO2 fixation. Biochem Biophys Res Commun 233, 568–571 (1997)."
Valegård 2018,29925588,"Valegård, K. et al. Structural and functional analyses of Rubisco from arctic diatom species reveal unusual posttranslational modifications. J Biol Chem 293, 13033–13043 (2018)."
Viale 1990,2211708,"Viale, A. M., Kobayashi, H. & Akazawa, T. Distinct properties of Escherichia coli products of plant-type ribulose-1,5-bisphosphate carboxylase/oxygenase directed by two sets of genes from the photosynthetic bacterium Chromatium vinosum. J Biol Chem 265, 18386–18392 (1990)."
Wang 2001,10.1006/abbi.2001.2555,"Wang, Y.-L., Zhou, J.-H., Wang, Y.-F., Bao, J.-S. & Chen, H.-B. Properties of Hybrid Enzymes between Synechococcus Large Subunits and Higher Plant Small Subunits of Ribulose-1,5-bisphosphate Carboxylase/Oxygenase in Escherichia coli. Archives of Biochemistry and Biophysics 396, 35–42 (2001)."
Whitehead 2014,10.1104/pp.114.237941,"Whitehead, L., Long, B. M., Price, G. D. & Badger, M. R. Comparing the in Vivo Function of α-Carboxysomes and β-Carboxysomes in Two Model Cyanobacteria. Plant Physiol. 165, 398–411 (2014)."
Whitney 2001,11439139,"Whitney, S. M., Baldet, P., Hudson, G. S. & Andrews, T. J. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J 26, 535–547 (2001)."
Whitney 2011,21849620,"Whitney, S. M. et al. Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc Natl Acad Sci U S A 108, 14688–14693 (2011)."
Whitney and Sharwood 2007,10.1074/jbc.M610479200,"Whitney, S. M. & Sharwood, R. E. Linked Rubisco Subunits Can Assemble into Functional Oligomers without Impeding Catalytic Performance. Journal of Biological Chemistry 282, 3809–3818 (2007)."
Wilson 2016,26926260,"Wilson, R. H., Alonso, H. & Whitney, S. M. Evolving Methanococcoides burtonii archaeal Rubisco for improved photosynthesis and plant growth. Sci Rep 6, 22284 (2016)."
Wilson 2017,28986448,"Wilson, R. H., Martin-Avila, E., Conlan, C. & Whitney, S. M. An improved Escherichia coli screen for Rubisco identifies a protein-protein interface that can enhance CO2-fixation kinetics. J Biol Chem 293, 18–27 (2018)."
Witte 2010,10.1128/AEM.02661-09,"Witte, B. et al. Functional Prokaryotic RubisCO from an Oceanic Metagenomic Library. Appl Environ Microbiol 76, 2997–3003 (2010). "
Yamori 2006,16898026,"Yamori, W., Suzuki, K., Noguchi, K., Nakai, M. & Terashima, I. Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures. Plant Cell Environ 29, 1659–1670 (2006)."
Yeoh 1980,16661586,"Yeoh, H. H., Badger, M. R. & Watson, L. Variations in K(m)(CO(2)) of Ribulose-1,5-bisphosphate Carboxylase among Grasses. Plant Physiol 66, 1110–1112 (1980)."
Yeoh 1981,16661826,"Yeoh, H. H., Badger, M. R. & Watson, L. Variations in Kinetic Properties of Ribulose-1,5-bisphosphate Carboxylases among Plants. Plant Physiol 67, 1151–1155 (1981)."
Yokota and Canvin 1986,10.1104/pp.80.2.341,"Yokota, A. & Canvin, D. T. Changes of Ribulose Bisphosphate Carboxylase/Oxygenase Content, Ribulose Bisphosphate Concentration, and Photosynthetic Activity during Adaptation of High-CO2 Grown Cells to Low-CO2 Conditions in Chlorella pyrenoidosa. Plant Physiol. 80, 341–345 (1986)."
Yoshida 2007,17675435,"Yoshida, S., Atomi, H. & Imanaka, T. Engineering of a type III rubisco from a hyperthermophilic archaeon in order to enhance catalytic performance in mesophilic host cells. Appl Environ Microbiol 73, 6254–6261 (2007)."
Young 2016,27129950,"Young, J. N. et al. Large variation in the Rubisco kinetics of diatoms reveals diversity among their carbon-concentrating mechanisms. J Exp Bot 67, 3445–3456 (2016)."
Young unpublished,na,"Young, J. N. Personal communication."
Zhang 2021,10.1186/s40643-021-00439-6,"Zhang, J. et al. Discovery of a readily heterologously expressed Rubisco from the deep sea with potential for CO2 capture. Bioresour. Bioprocess. 8, 86 (2021)."
Zhou 2019,31658746,"Zhou, Y. & Whitney, S. Directed Evolution of an Improved Rubisco; In Vitro Analyses to Decipher Fact from Fiction. Int J Mol Sci 20, 5019 (2019)."
Zhu 1998,10.1023/A:1006020424581,"Zhu, G., Jensen, R. G., Bohnert, H. J., Wildner, G. F. & Schlitter, J. Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynthesis Research 57, 71–79 (1998)."
this package,na,This data was averaged or compiled by the package; cite rbcmodel for this data.
